postID,text,timestamp,likes,commentCount,community,district
BhZZLDah01N,"ALMOST DONE! 25 years of research, blood, sweat, and tears... Dr. Miller<92>s LIFE<92>s WORK! Will be available in a 27 page report on Eccentrics and the science behind his breakthrough MACHINE AND METHOD. WE. CANNOT. WAIT to show this to you guys.
#instafit #chicagoloop #chicagofinancialdistrict #fitness #chicagofitness #healthyliving #chicago #gains #muscle #bodybuilding #quotes #inspiration #motivation #strength #strengthtraining #strengthandconditioning #squats #squat #legday #eccentric #eccentrictraining #weightlifting #weighttraining #lifting #bodybuilding #motivation #nutrition #powerlifting",1523377994,19,1,LOOP,Central
BhZWi5jFVo7,#cbot #cbotbuilding #chicagofed #chicagofederalreserve #chicagoloop #chicago,1523376616,5,1,LOOP,Central
BhZV607gLUf,<ed><U+00A0><U+00BD><ed><U+00B1><U+0080> Eye see you! @smithandcult ~,1523376288,10,2,LOOP,Central
BhZVPiGHyUZ,"1hr personal boxing training <ed><U+00A0><U+00BE><ed><U+00B5><U+008A>
Body Shot Boxing Club 
600 w. Cermak 
Pilsen - Chicago 
www.bodyshotboxingclub.com 
Adult: $85 A MONTH for 56 classes 
Youth: $80 A MONTH for 30 classes
#rickramosboxing #bodyshotboxingclub #chicagoboxing #pilsenchicago #bridgeportchicago #chicago #chitown #windycity #halsted #uic #downtownchicago #chicagotrainer #chicagofitness #chicagogym #chicagosports #chicagoland #chicagojpg #chicagoshots #chicagokids #chicagogirl #chicagomom #chicagogirls #chicagolife #chicagogram #pilsenneighborhood #chicagoloop #chigram #halsted #bridgeportchicago #chicagoland #chicagokid #chicagojpg #chicagoshots #chicagosports #chicagogym #chicagogirl #chicagogirls",1523375933,9,0,LOOP,Central
BhZULxLHfzI,"Comment and tell us what you recently purchased at Nordstrom Rack!! #ShopHIP #HarlemIrvingPlaza #Chicago #CHItown #WindyCity #ChicagoLand #ChicagoGram #Insta_Chicago #Chicagolife  #Chicagogirl #Chicagoloop #Chicagolove #ChicagoEvents
#Chicagostyle #ChicagosBest #Instachicago #ChicagoBride #Norridge #NorridgeIllinois #NorridgeIL  #NWChicago",1523375378,15,0,LOOP,Central
BhZS_YqnHmZ,"Sweeten up your day with a fabulous dessert from @stockandledger. Our Pear and Apple Crumble-wine poached pears, apple, oat topping. Even better a la mode! -
-
-
#dessert #delicious #treatyourself #chicagoloop",1523374752,9,0,LOOP,Central
BhZSiVyBLb6,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> @angela_grace13
<b7><b7><b7>
& my friends bad too <ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2640><U+FE0F><U+26A1><U+FE0F> .
.
.
.
#electrichotel #chicago #rivernorth #housemusic #downtown #downtownchicago #danceclub #goldcoast #chicagoan #vip #lasvegas #chitown #theloop #nightclub #party #lincolnpark #clublife #chicagoloop #miami #la #nyc #michiganave #nightlife #edm #vegas #chi #lakeview #streeterville #room222",1523374514,17,1,LOOP,Central
BhZRTO8gEBG,"<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> ATTENTION!! Enter to win 3 complimentary tickets to the @iecsc Chicago show April 28-30! 
1. Like this post 
2. Tag 2 friends who would be interested! 
Winners will be announced Friday 3pm EST!",1523373866,16,2,LOOP,Central
BhZOe-qAh-z,"Our Harvest Bowls rotate weekly. Dive into this week<92>s delicious flavors-pearl couscous, tarragon vinaigrette, red and yellow beets, rainbow Swiss chard, grape tomatoes, sweet potatoes, goat cheese. -
-
-
#eatyourveggies #delicious #hungry #lunch #chicagoloop",1523372390,10,1,LOOP,Central
BhZOHESAO2n,"City scene.
#chicago #chicagoshots #chicagoloop #chicagoarchitecture #architecturalphotography #architecture #architectural #city #cityphotography #citylife #cityscene #streetphotography #crosswalk #citylove #taxis #streetview #streetscene #lifestylephotography",1523372194,20,1,LOOP,Central
